BIP_SA_DE,BIPVOL_SA_DE,CPR_SA_DE,CPRVOL_SA_DE,BAI_SA_DE,BAIVOL_SA_DE,AVETI_SA_DE,ETI_SA_DE,PRODH_SA_DE,PRODN_SA_DE,VERDH_SA_DE,VERDN_SA_DE,BIPP_SA_DE
389.815,70.81,216.962,77.93,96.416,73.01,15319.5786,39188,68.34,81.25,13.01,1603,63.81374354
396.773,70.47,219.754,77.86,98.804,73.76,15166.0251,39000,68.56,81.25,13.57,1675,65.26616732
397.785,70.36,219.541,76.59,99.733,73.73,15043.3731,38667,69.06,81.82,13.78,1703,65.53493031
412.48,71.37,227.922,77.79,103.222,75.63,15107.0705,38638,69.97,83.06,14.12,1731,66.9942407
422.287,72.35,233.063,79.4,107.585,77.98,15111.277,38571,70.65,84.34,14.29,1783,67.65804536
425.828,71.9,235.59,79.21,107.479,77.14,15120.9811,38467,70.28,84.04,14.75,1832,68.65237953
428.598,71.73,238.039,79.57,105.338,74.91,14937.4347,38295,70.9,84.23,15.28,1895,69.2627259
431.623,71.53,241.405,80.12,106.443,75.18,14760.0777,38116,71.32,84.38,15.31,1889,69.94660247
432.411,70.96,244.608,79.76,104.981,73.48,14645.6124,38052,71.65,83.85,15.57,1890,70.63718715
438.363,70.97,245.562,79.31,104.718,72.92,14561.6108,37886,71.94,84.23,15.86,1930,71.59939548
440.966,71.39,247.678,79.84,105.673,73.25,14514.7371,37784,72.61,84.96,16,1947,71.60081959
443.78,71.33,251.608,80.49,104.588,72.29,14410.618,37732,72.68,85.01,16.13,1959,72.11834838
452.583,72.34,254.223,80.56,107.96,74.48,14506.8092,37838,73.62,85.97,16.15,1960,72.52203846
456.359,72.74,254.987,80.88,109.564,75.34,14472.681,37820,74.18,86.48,16.19,1956,72.72497714
460.378,73.17,257.406,81.18,110.286,75.6,14524.002,37885,74.39,86.85,16.28,1970,72.93429297
468.003,73.98,259.361,81.51,113.13,77.35,14592.0335,37970,74.93,87.61,16.53,1992,73.33048888
